Year,Data Type,Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15
1995,First Unit of Quantity,0106001000,China,1995,number,0,0,0,"1,695",0,0,580,0,0,0,950,0
1995,First Unit of Quantity,0106005010,China,1995,number,100,100,320,0,220,320,100,220,220,120,420,0
1995,First Unit of Quantity,0106005080,China,1995,no units collected,0,0,0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0208100000,China,1995,kilograms,0,"18,500",0,"19,000","21,349",0,"41,000","19,000",0,"19,000","19,000","38,660"
1995,First Unit of Quantity,0208200000,China,1995,kilograms,"4,217",0,0,0,0,0,0,0,0,"38,102","56,350","18,507"
1995,First Unit of Quantity,0208902000,China,1995,kilograms,"3,479",0,0,0,0,0,"2,909",0,0,0,0,0
1995,First Unit of Quantity,0208903000,China,1995,kilograms,0,0,0,0,0,"5,010",0,0,0,0,0,0
1995,First Unit of Quantity,0301100000,China,1995,no units collected,0,0,0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0301990000,China,1995,no units collected,0,0,0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0302320000,China,1995,kilograms,0,"9,154",0,0,0,0,"2,148","5,114",0,"1,716",0,0
1995,First Unit of Quantity,0302692070,China,1995,kilograms,0,0,0,0,0,"5,000",0,0,0,0,0,0
1995,First Unit of Quantity,0302694096,China,1995,kilograms,"4,322",0,0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0303310020,China,1995,kilograms,0,"18,040",0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0303330000,China,1995,kilograms,0,0,0,0,0,0,998,0,0,0,0,0
1995,First Unit of Quantity,0303420060,China,1995,kilograms,"27,732","21,965","11,305","19,029","12,562",0,0,0,0,0,0,0
1995,First Unit of Quantity,0303490040,China,1995,kilograms,"27,414","25,636",0,"10,765","5,294",0,0,0,0,0,0,0
1995,First Unit of Quantity,0303600090,China,1995,kilograms,0,0,0,"36,284",0,0,"36,238",0,0,0,"118,750",0
1995,First Unit of Quantity,0303730000,China,1995,kilograms,0,0,0,0,0,0,"21,000",0,0,0,0,0
1995,First Unit of Quantity,0303740000,China,1995,kilograms,0,0,0,0,0,0,0,0,"4,992",0,0,0
1995,First Unit of Quantity,0303760000,China,1995,kilograms,"13,592",0,"1,335",0,"10,000",0,"14,609","10,297",0,"6,550","11,641","6,600"
1995,First Unit of Quantity,0303792024,China,1995,kilograms,"9,072","5,033","19,908","59,726",0,"39,817","43,819",0,0,0,0,0
1995,First Unit of Quantity,0303792026,China,1995,kilograms,0,0,0,0,0,"18,262","18,143","4,990","18,144","16,466",0,0
1995,First Unit of Quantity,0303792030,China,1995,kilograms,0,0,0,0,0,330,0,0,0,0,0,0
1995,First Unit of Quantity,0303792040,China,1995,kilograms,0,0,0,0,0,0,0,"45,922",0,0,0,0
1995,First Unit of Quantity,0303792080,China,1995,kilograms,0,"1,474",0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0303792094,China,1995,kilograms,0,"18,656",0,0,0,"8,165",0,0,0,0,0,0
