Data Type,Country,Year,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
Customs Value,China,1995,Value for: dozens,"439,144,573","419,883,264","355,824,264","322,342,108","419,407,500","507,508,906","605,055,296","616,983,787","464,857,178","417,065,730","272,190,457","221,393,607"
Customs Value,China,1995,Value for: thousand meters,0,0,0,"22,125",0,0,0,0,0,0,0,0
Customs Value,China,1995,Value for: dozen pieces,"25,381,461","22,493,528","22,209,326","23,626,326","26,108,689","30,888,099","39,244,985","59,185,285","56,083,279","52,744,165","33,089,283","24,293,963"
Customs Value,China,1995,Value for: thousand units,"6,133,152","5,035,601","6,178,697","5,074,783","7,650,499","4,894,479","6,848,988","6,753,355","6,490,422","7,028,420","6,674,783","6,014,666"
Customs Value,China,1995,Value for: pairs,"501,073,543","479,816,360","400,230,195","396,411,365","467,244,423","580,737,101","600,335,053","596,229,299","510,247,999","535,207,871","420,979,912","394,006,392"
Customs Value,China,1995,Value for: clean yield kilograms,"1,920","499,674","164,836","161,428","916,624","416,463","87,179",0,"170,793","187,221","107,681","93,178"
Customs Value,China,1995,Value for: grams,"3,295,261","2,969,021","3,290,116","2,730,073","3,115,772","3,372,420","2,057,897","2,748,476","2,522,099","3,551,666","4,184,618","3,716,256"
Customs Value,China,1995,Value for: square meters,"31,539,313","34,363,882","59,714,843","52,844,140","53,663,669","52,218,072","49,768,134","48,916,699","41,387,183","26,819,718","17,990,118","19,030,834"
Customs Value,China,1995,Value for: fiber meters,"5,324",0,0,0,0,0,0,"272,331","175,541","57,609","81,177","84,314"
Customs Value,China,1995,Value for: component grams,"2,133,574","383,662","1,306,121","1,499,513","1,139,458","995,019","195,476","496,356","714,165","815,260","595,870","787,293"
Customs Value,China,1995,Value for: number,"1,377,846,413","1,158,331,777","1,114,103,658","1,297,233,112","1,470,982,678","1,548,090,657","1,666,661,152","1,944,537,779","2,010,132,763","2,152,404,162","1,774,455,375","1,329,021,495"
Customs Value,China,1995,Value for: dozen pairs,"24,668,664","20,701,887","18,613,799","20,699,308","32,237,463","37,896,746","49,397,971","52,929,820","41,714,959","34,633,157","25,473,516","20,879,525"
Customs Value,China,1995,Value for: linear meters,"83,018","38,904","196,172","99,113","72,597","9,964","25,178","98,031","69,420","207,723","54,748","5,700"
Customs Value,China,1995,Value for: meters,"70,822","772,813","3,087,430","48,815","4,580","288,000","184,007","681,201","532,955","826,119","987,364","782,808"
Customs Value,China,1995,Value for: kilograms,"282,404,348","238,978,297","266,071,870","271,489,763","314,064,172","295,942,072","299,866,334","333,872,572","291,315,339","280,230,417","290,215,821","271,954,863"
Customs Value,China,1995,Value for: square centimeters,"1,825,547","1,438,098","1,341,586","1,407,759","1,754,024","1,807,283","2,085,803","2,913,409","3,706,368","3,461,620","2,076,407","1,736,763"
Customs Value,China,1995,Value for: no units collected,"694,493,821","574,856,019","592,801,958","661,789,009","769,418,177","829,410,211","920,605,187","1,074,373,946","1,089,092,163","1,102,490,138","938,374,204","753,721,349"
Customs Value,China,1995,Value for: Megabecquerels,0,0,0,0,0,0,0,0,0,0,0,"3,000"
Customs Value,China,1995,Value for: carats,"419,288","85,616","645,123","222,184","318,027","684,220","414,268","604,762","272,587","592,525","251,955","330,914"
Customs Value,China,1995,Value for: metric tons,"14,018,236","13,016,599","25,452,108","14,590,349","16,304,255","19,162,146","11,993,581","21,282,422","29,731,339","26,964,235","25,889,907","19,204,162"
Customs Value,China,1995,Value for: pieces,"3,367,572","2,686,503","3,286,236","2,740,125","4,558,132","4,588,631","4,685,034","4,753,517","5,131,812","7,161,018","4,968,202","3,831,507"
Customs Value,China,1995,Value for: gross containers,0,"96,061","51,804","90,935","32,034","72,912","205,492","232,238","40,850","146,660","27,219",0
Customs Value,China,1995,Value for: cubic meters,"70,768","580,918","411,171","664,263","329,537","620,398","459,201","789,468","559,505","493,643","772,307","268,729"
Customs Value,China,1995,Value for: proof liters,"126,619","97,597","94,655","60,839","74,084","141,445","147,011","140,830","141,100","126,660","197,627","350,250"
