Data Type,Country,Year,HTS Number,Quantity Description,January,February,March,April,May,June,July,August,September,October,November,December
Customs Value,China,2000,0101202000,Value for: number,0,0,0,0,0,0,0,0,0,"6,660",0,0
Customs Value,China,2000,0106001000,Value for: number,"16,033",0,0,"10,690","14,066",0,"14,275",0,"12,835",0,"6,040",0
Customs Value,China,2000,0106005010,Value for: number,"264,788","217,718","557,368","108,859","431,719","178,668","733,872","219,595","735,519","283,859","389,895","788,737"
Customs Value,China,2000,0106005080,Value for: no units collected,"4,951","6,378","9,484","19,011","22,085","17,392","19,405","13,504","5,420","5,214","8,300","3,865"
First Unit Quantity,China,2000,0101202000,number,0,0,0,0,0,0,0,0,0,888,0,0
First Unit Quantity,China,2000,0106001000,number,"10,590",0,0,"5,155","6,077",0,"4,595",0,"5,495",0,4,0
First Unit Quantity,China,2000,0106005010,number,196,200,506,100,366,180,576,200,680,230,"1,555",700
First Unit Quantity,China,2000,0106005080,no units collected,0,0,0,0,0,0,0,0,0,0,0,0
Customs Value,China,2000,0208100000,Value for: kilograms,"142,664","129,470","53,515","98,165","149,900","139,300","46,300","87,450","129,227","49,930","132,593","178,668"
Customs Value,China,2000,0208200000,Value for: kilograms,0,"123,585","93,817","93,832","87,605",0,0,0,"7,153","819,303","512,689","608,416"
Customs Value,China,2000,0208904000,Value for: kilograms,0,0,0,0,"2,408",0,0,0,0,0,0,0
First Unit Quantity,China,2000,0208100000,kilograms,"68,139","61,320","22,000","43,073","68,446","68,880","24,000","46,000","67,800","22,880","64,000","91,890"
First Unit Quantity,China,2000,0208200000,kilograms,0,"16,017","17,704","38,872","22,466",0,0,0,"2,600","149,028","98,901","121,569"
First Unit Quantity,China,2000,0208904000,kilograms,0,0,0,0,258,0,0,0,0,0,0,0
Customs Value,China,2000,0301100000,Value for: no units collected,"37,274","25,534","28,589","35,543","27,128","30,847","41,923","37,171","54,422","39,284","39,127","30,919"
Customs Value,China,2000,0301990000,Value for: no units collected,"7,236","2,100",0,0,0,0,0,0,0,0,0,0
Customs Value,China,2000,0302660000,Value for: kilograms,"51,000",0,0,0,"13,256",0,"101,479","5,625",0,0,0,"96,341"
Customs Value,China,2000,0302692062,Value for: kilograms,0,0,0,0,0,0,0,"3,000",0,0,0,0
Customs Value,China,2000,0302692070,Value for: kilograms,0,0,0,0,0,"21,077",0,0,0,0,0,0
Customs Value,China,2000,0302694099,Value for: kilograms,0,0,"9,869","9,290","28,453","114,058",0,"3,875","2,282","5,086","19,375","22,292"
Customs Value,China,2000,0303310020,Value for: kilograms,0,0,0,0,0,"4,302","5,804",0,"5,480",0,0,0
Customs Value,China,2000,0303330000,Value for: kilograms,"217,051","149,345",0,"104,267","160,400","2,772","51,965","15,873",0,"26,225","25,584",0
Customs Value,China,2000,0303390020,Value for: kilograms,"10,874","8,500",0,"17,147",0,"27,400","26,751","59,937",0,"80,921",0,0
Customs Value,China,2000,0303390030,Value for: kilograms,0,0,"13,590",0,0,0,0,"37,395",0,"37,395",0,0
Customs Value,China,2000,0303410000,Value for: kilograms,0,"273,946",0,0,0,0,0,0,0,0,0,0
Customs Value,China,2000,0303420040,Value for: kilograms,0,0,0,0,0,0,0,"89,100",0,0,0,0
Customs Value,China,2000,0303430000,Value for: kilograms,0,"14,754",0,0,0,0,0,0,0,0,0,0
Customs Value,China,2000,0303490040,Value for: kilograms,"12,699",0,0,"12,184",0,0,0,0,0,0,0,"26,290"
Customs Value,China,2000,0303600010,Value for: kilograms,"204,937",0,0,0,0,0,0,0,0,0,0,0
Customs Value,China,2000,0303600090,Value for: kilograms,"275,572","28,694",0,"22,688","116,509","52,437",0,0,"7,276",0,0,0
Customs Value,China,2000,0303740000,Value for: kilograms,0,0,"44,160","23,116","24,696",0,0,0,0,0,0,0
Customs Value,China,2000,0303760000,Value for: kilograms,"326,000","281,372",0,"491,015","86,170","324,773","187,723","385,423","492,956","348,781","413,682","107,220"
Customs Value,China,2000,0303792005,Value for: kilograms,0,0,0,"5,192",0,"5,037",0,"4,998","4,899",0,"4,756",0
Customs Value,China,2000,0303792015,Value for: kilograms,0,0,0,0,"3,420",0,0,0,0,0,0,0
Customs Value,China,2000,0303792024,Value for: kilograms,0,0,0,"28,046",0,"21,269",0,"58,697","10,543",0,0,0
Customs Value,China,2000,0303792026,Value for: kilograms,0,0,"6,352",0,0,0,0,0,0,0,0,0
Customs Value,China,2000,0303792080,Value for: kilograms,0,0,0,0,0,0,0,0,0,0,0,"38,216"
Customs Value,China,2000,0303792094,Value for: kilograms,"1,411,958","737,408","656,998","1,253,874","1,698,649","991,430","929,722","836,132","1,770,220","1,308,625","1,142,758","916,793"
Customs Value,China,2000,0303792098,Value for: kilograms,"659,639","291,333","202,228","98,762","124,661","66,007","17,438","106,558","27,211","136,187","245,377","211,449"
Customs Value,China,2000,0303794030,Value for: kilograms,0,0,0,0,0,0,"18,414",0,0,0,0,0
Customs Value,China,2000,0303794050,Value for: kilograms,"3,016",0,0,0,0,0,"4,494",0,0,0,0,0
Customs Value,China,2000,0303794075,Value for: kilograms,0,0,0,0,0,0,"15,162",0,0,0,0,0
Customs Value,China,2000,0303794097,Value for: kilograms,"480,569","372,857","177,892","256,136","123,482","296,156","320,171","96,498","331,932","54,035","211,040","759,486"
